b,C_right,C_left,C_vertical_radial,field_right,field_left,field_vertical_radial,road_gain_right,road_gain_left
-3.0,2.500000000000007,6.810746496051777,1.9364916731037063,2.5,1.5,1.9364916731037085,7.105427357601002e-15,5.310746496051777
-2.9,2.500000000000007,6.63999490678647,1.9364916731037063,2.5,1.5,1.9364916731037085,7.105427357601002e-15,5.13999490678647
-2.8,2.500000000000007,6.4703669022378705,1.9364916731037063,2.5,1.5,1.9364916731037085,7.105427357601002e-15,4.9703669022378705
-2.7,2.500000000000007,6.301917583341819,1.9364916731037063,2.5,1.5,1.9364916731037085,7.105427357601002e-15,4.801917583341819
-2.6,2.500000000000007,6.134704990478738,1.9364916731037063,2.5,1.5,1.9364916731037085,7.105427357601002e-15,4.634704990478738
-2.5,2.500000000000007,5.968790244115738,1.9364916731037063,2.5,1.5,1.9364916731037085,7.105427357601002e-15,4.468790244115738
-2.4,2.500000000000007,5.804237687926744,1.9364916731037063,2.5,1.5,1.9364916731037085,7.105427357601002e-15,4.304237687926744
-2.3,2.500000000000007,5.641115033649939,1.9364916731037063,2.5,1.5,1.9364916731037085,7.105427357601002e-15,4.141115033649939
-2.2,2.500000000000007,5.479493506792366,1.9364916731037063,2.5,1.5,1.9364916731037085,7.105427357601002e-15,3.979493506792366
-2.1,2.500000000000007,5.319447992120857,1.9364916731037063,2.5,1.5,1.9364916731037085,7.105427357601002e-15,3.819447992120857
-2.0,2.500000000000007,5.161057177687738,1.9364916731037063,2.5,1.5,1.9364916731037085,7.105427357601002e-15,3.661057177687738
-1.9,2.502047602420795,5.00440369592819,1.9364916731037063,2.5,1.5,1.9364916731037085,0.002047602420795158,3.5044036959281897
-1.7999999999999998,2.5083765188625264,4.849574260127369,1.9364916731037063,2.5,1.5,1.9364916731037085,0.008376518862526439,3.349574260127369
-1.7,2.5192525035265376,4.696659794290994,1.9364916731037063,2.5,1.5,1.9364916731037085,0.019252503526537623,3.1966597942909942
-1.5999999999999999,2.5349171531956003,4.545755554156798,1.9364916731037063,2.5,1.5,1.9364916731037085,0.03491715319560029,3.0457555541567984
-1.5,2.5555810683325078,4.396961236752318,1.9364916731037063,2.5,1.5,1.9364916731037085,0.055581068332507755,2.8969612367523183
-1.4,2.5814187329276663,4.250381075533497,1.9364916731037063,2.5,1.5,1.9364916731037085,0.08141873292766633,2.7503810755334968
-1.2999999999999998,2.612565453878794,4.106123917718051,1.9364916731037063,2.5,1.5,1.9364916731037085,0.11256545387879413,2.606123917718051
-1.2,2.6491163886045896,3.964303279953562,1.9364916731037063,2.5,1.5,1.9364916731037085,0.14911638860458964,2.464303279953562
-1.0999999999999999,2.6911274252428328,3.8250373779177167,1.9364916731037063,2.5,1.5,1.9364916731037085,0.19112742524283277,2.3250373779177167
-1.0,2.738617514120868,3.6884491248271516,1.9364916731037063,2.5,1.5,1.9364916731037085,0.23861751412086818,2.1884491248271516
-0.8999999999999999,2.791571991034097,3.5546660931124947,1.9364916731037063,2.5,1.5,1.9364916731037085,0.2915719910340968,2.0546660931124947
-0.7999999999999998,2.8499464596605506,3.42382043268136,1.9364916731037063,2.5,1.5,1.9364916731037085,0.3499464596605506,1.9238204326813602
-0.6999999999999997,2.913670877057889,3.2960487382127965,1.9364916731037063,2.5,1.5,1.9364916731037085,0.4136708770578892,1.7960487382127965
-0.5999999999999996,2.982653580332048,3.1714918567758517,1.9364916731037063,2.5,1.5,1.9364916731037085,0.4826535803320482,1.6714918567758517
-0.5,3.0567850821213156,3.0502946257078705,1.9364916731037063,2.5,1.5,1.9364916731037085,0.5567850821213156,1.5502946257078705
-0.3999999999999999,3.1359415362209475,2.9326055290867643,1.9364916731037063,2.5,1.5,1.9364916731037085,0.6359415362209475,1.4326055290867643
-0.2999999999999998,3.219987829285209,2.8185762592459938,1.9364916731037063,2.5,1.5,1.9364916731037085,0.7199878292852091,1.3185762592459938
-0.19999999999999973,3.3087802915665563,2.708361167574772,1.9364916731037063,2.5,1.5,1.9364916731037085,0.8087802915665563,1.2083611675747719
-0.09999999999999964,3.402169042558562,2.602116586294237,1.9364916731037063,2.5,1.5,1.9364916731037085,0.9021690425585618,1.1021165862942368
0.0,3.500000000000007,2.500000000000007,1.9364916731037063,2.5,1.5,1.9364916731037085,1.000000000000007,1.000000000000007
0.10000000000000009,3.602116586294251,2.402169042558562,1.9364916731037063,2.5,1.5,1.9364916731037085,1.102116586294251,0.9021690425585618
0.20000000000000018,3.708361167574772,2.3087802915665563,1.9364916731037063,2.5,1.5,1.9364916731037085,1.2083611675747719,0.8087802915665563
0.30000000000000027,3.8185762592459938,2.219987829285209,1.9364916731037063,2.5,1.5,1.9364916731037085,1.3185762592459938,0.7199878292852091
0.40000000000000036,3.9326055290867785,2.1359415362209475,1.9364916731037063,2.5,1.5,1.9364916731037085,1.4326055290867785,0.6359415362209475
0.5,4.050294625707878,2.0567850821213156,1.9364916731037063,2.5,1.5,1.9364916731037085,1.5502946257078776,0.5567850821213156
0.6000000000000001,4.171491856775859,1.9826535803320517,1.9364916731037063,2.5,1.5,1.9364916731037085,1.6714918567758588,0.48265358033205175
0.7000000000000002,4.296048738212804,1.9136708770578856,1.9364916731037063,2.5,1.5,1.9364916731037085,1.7960487382128036,0.41367087705788563
0.8000000000000003,4.423820432681353,1.8499464596605542,1.9364916731037063,2.5,1.5,1.9364916731037085,1.923820432681353,0.34994645966055415
0.9000000000000004,4.554666093112488,1.7915719910340933,1.9364916731037063,2.5,1.5,1.9364916731037085,2.0546660931124876,0.29157199103409326
1.0,4.688449124827159,1.7386175141208646,1.9364916731037063,2.5,1.5,1.9364916731037085,2.1884491248271587,0.23861751412086463
1.1000000000000005,4.825037377917724,1.6911274252428292,1.9364916731037063,2.5,1.5,1.9364916731037085,2.325037377917724,0.19112742524282922
1.2000000000000002,4.964303279953569,1.6491163886045932,1.9364916731037063,2.5,1.5,1.9364916731037085,2.464303279953569,0.1491163886045932
1.2999999999999998,5.106123917718051,1.6125654538787977,1.9364916731037063,2.5,1.5,1.9364916731037085,2.606123917718051,0.11256545387879768
1.4000000000000004,5.250381075533497,1.5814187329276699,1.9364916731037063,2.5,1.5,1.9364916731037085,2.7503810755334968,0.08141873292766988
1.5,5.396961236752318,1.5555810683325113,1.9364916731037063,2.5,1.5,1.9364916731037085,2.8969612367523183,0.05558106833251131
1.6000000000000005,5.545755554156798,1.5349171531955967,1.9364916731037063,2.5,1.5,1.9364916731037085,3.0457555541567984,0.03491715319559674
1.7000000000000002,5.696659794290994,1.5192525035265412,1.9364916731037063,2.5,1.5,1.9364916731037085,3.1966597942909942,0.019252503526541176
1.8000000000000007,5.849574260127369,1.50837651886253,1.9364916731037063,2.5,1.5,1.9364916731037085,3.349574260127369,0.008376518862529991
1.9000000000000004,6.00440369592819,1.5020476024207987,1.9364916731037063,2.5,1.5,1.9364916731037085,3.5044036959281897,0.002047602420798711
2.0,6.161057177687738,1.5000000000000036,1.9364916731037063,2.5,1.5,1.9364916731037085,3.661057177687738,3.552713678800501e-15
2.1000000000000005,6.319447992120857,1.5000000000000036,1.9364916731037063,2.5,1.5,1.9364916731037085,3.819447992120857,3.552713678800501e-15
2.2,6.479493506792366,1.5000000000000036,1.9364916731037063,2.5,1.5,1.9364916731037085,3.979493506792366,3.552713678800501e-15
2.3000000000000007,6.641115033649939,1.5000000000000036,1.9364916731037063,2.5,1.5,1.9364916731037085,4.141115033649939,3.552713678800501e-15
2.4000000000000004,6.804237687926744,1.5000000000000036,1.9364916731037063,2.5,1.5,1.9364916731037085,4.304237687926744,3.552713678800501e-15
2.5,6.968790244115766,1.5000000000000036,1.9364916731037063,2.5,1.5,1.9364916731037085,4.468790244115766,3.552713678800501e-15
2.6000000000000005,7.134704990478738,1.5000000000000036,1.9364916731037063,2.5,1.5,1.9364916731037085,4.634704990478738,3.552713678800501e-15
2.7,7.301917583341847,1.5000000000000036,1.9364916731037063,2.5,1.5,1.9364916731037085,4.801917583341847,3.552713678800501e-15
2.8000000000000007,7.4703669022378705,1.5000000000000036,1.9364916731037063,2.5,1.5,1.9364916731037085,4.9703669022378705,3.552713678800501e-15
2.9000000000000004,7.63999490678647,1.5000000000000036,1.9364916731037063,2.5,1.5,1.9364916731037085,5.13999490678647,3.552713678800501e-15
3.0,7.810746496051777,1.5000000000000036,1.9364916731037063,2.5,1.5,1.9364916731037085,5.310746496051777,3.552713678800501e-15
