c,C_right,C_left,C_vertical_radial,field_right,field_left,field_vertical_radial,road_gain_right,road_gain_left
-1.8,2.3884491248271544,4.038617514120872,1.3126757769805515,0.19999999999999996,3.8,0.8717797887081346,2.1884491248271543,0.23861751412087262
-1.75,2.4384491248271516,3.988617514120868,1.3392889720385988,0.25,3.75,0.9682458365518543,2.1884491248271516,0.23861751412086818
-1.7,2.4884491248271488,3.938617514120871,1.3658663675560554,0.30000000000000004,3.7,1.053565375285274,2.188449124827149,0.23861751412087084
-1.65,2.538449124827146,3.8886175141208597,1.3924079620756196,0.3500000000000001,3.65,1.1302654555457317,2.188449124827146,0.23861751412085974
-1.6,2.5884491248271573,3.8386175141208625,1.4189137553244926,0.3999999999999999,3.6,1.1999999999999997,2.1884491248271574,0.2386175141208624
-1.55,2.6384491248271544,3.7886175141208653,1.445383748215388,0.44999999999999996,3.55,1.2639224659764536,2.1884491248271543,0.23861751412086551
-1.5,2.6884491248271516,3.738617514120868,1.4718179428472986,0.5,3.5,1.3228756555322954,2.1884491248271516,0.23861751412086818
-1.45,2.7384491248271488,3.688617514120871,1.4982163425059447,0.55,3.45,1.3774977313955912,2.188449124827149,0.23861751412087084
-1.4,2.788449124827146,3.6386175141208597,1.5245789516639157,0.6000000000000001,3.4,1.42828568570857,2.188449124827146,0.23861751412085974
-1.35,2.8384491248271573,3.5886175141208625,1.5509057759804996,0.6499999999999999,3.35,1.4756354563373706,2.1884491248271574,0.2386175141208624
-1.3,2.8884491248271544,3.5386175141208653,1.5771968223012145,0.7,3.3,1.5198684153570663,2.1884491248271543,0.23861751412086551
-1.25,2.9384491248271516,3.488617514120868,1.6034520986570406,0.75,3.25,1.5612494995995996,2.1884491248271516,0.23861751412086818
-1.2,2.9884491248271488,3.438617514120871,1.6296716142633052,0.8,3.2,1.6,2.188449124827149,0.23861751412087084
-1.15,3.038449124827146,3.3886175141208597,1.6558553795183322,0.8500000000000001,3.15,1.6363068171953572,2.188449124827146,0.23861751412085974
-1.1,3.0884491248271573,3.3386175141208625,1.6820034060017157,0.8999999999999999,3.1,1.6703293088490065,2.1884491248271574,0.2386175141208624
-1.05,3.1384491248271544,3.2886175141208653,1.708115706472352,0.95,3.05,1.70220445305492,2.1884491248271543,0.23861751412086551
-1.0,3.1884491248271516,3.238617514120868,1.7341922948661086,1.0,3.0,1.7320508075688772,2.1884491248271516,0.23861751412086818
-0.95,3.2384491248271488,3.188617514120871,1.7602331862932452,1.05,2.95,1.7599715906798041,2.188449124827149,0.23861751412087084
-0.9,3.288449124827146,3.1386175141208597,1.7860571099491729,1.1,2.9,1.786057109949175,2.188449124827146,0.23861751412085974
-0.85,3.3384491248271573,3.0886175141208625,1.8103866990231658,1.15,2.85,1.8103866990231672,2.1884491248271574,0.2386175141208624
-0.8,3.3884491248271544,3.0386175141208653,1.8330302779823349,1.2,2.8,1.833030277982336,2.1884491248271543,0.23861751412086551
-0.75,3.4384491248271516,2.988617514120868,1.854049621773914,1.25,2.75,1.8540496217739157,2.1884491248271516,0.23861751412086818
-0.7,3.4884491248271488,2.938617514120871,1.8734993995195204,1.3,2.7,1.8734993995195195,2.188449124827149,0.23861751412087084
-0.6499999999999999,3.538449124827146,2.8886175141208597,1.8914280319377745,1.35,2.65,1.8914280319377739,2.188449124827146,0.23861751412085974
-0.5999999999999999,3.5884491248271573,2.8386175141208625,1.9078784028338909,1.4000000000000001,2.5999999999999996,1.9078784028338913,2.188449124827157,0.23861751412086285
-0.55,3.6384491248271544,2.7886175141208653,1.9228884523029386,1.45,2.55,1.922888452302941,2.1884491248271543,0.23861751412086551
-0.5,3.6884491248271516,2.738617514120868,1.9364916731037063,1.5,2.5,1.9364916731037085,2.1884491248271516,0.23861751412086818
-0.44999999999999996,3.7384491248271488,2.688617514120871,1.9487175269905102,1.55,2.45,1.9487175269905077,2.188449124827149,0.23861751412087084
-0.3999999999999999,3.788449124827146,2.6386175141208597,1.9595917942265437,1.6,2.4,1.9595917942265424,2.188449124827146,0.23861751412085974
-0.34999999999999987,3.8384491248271573,2.5886175141208625,1.9691368667515228,1.6500000000000001,2.3499999999999996,1.9691368667515217,2.188449124827157,0.23861751412086285
-0.30000000000000004,3.8884491248271544,2.5386175141208653,1.9773719933285214,1.7,2.3,1.977371993328519,2.1884491248271543,0.23861751412086551
-0.25,3.9384491248271516,2.488617514120868,1.9843134832984397,1.75,2.25,1.984313483298443,2.1884491248271516,0.23861751412086818
-0.19999999999999996,3.9884491248271488,2.438617514120871,1.9899748742132424,1.8,2.2,1.98997487421324,2.188449124827149,0.23861751412087084
-0.1499999999999999,4.038449124827153,2.3886175141208597,1.99436706751791,1.85,2.15,1.994367067517913,2.188449124827153,0.23861751412085974
-0.09999999999999987,4.088449124827164,2.3386175141208625,1.9974984355438146,1.9000000000000001,2.0999999999999996,1.997498435543818,2.188449124827164,0.23861751412086285
-0.050000000000000044,4.138449124827147,2.2886175141208653,1.9993749023132175,1.95,2.05,1.9993749023132206,2.188449124827147,0.23861751412086551
0.0,4.188449124827159,2.238617514120868,2.000000000000007,2.0,2.0,2.0,2.1884491248271587,0.23861751412086818
0.050000000000000044,4.238449124827142,2.188617514120871,1.9993749023132175,2.05,1.95,1.9993749023132206,2.188449124827142,0.23861751412087107
0.10000000000000009,4.288449124827153,2.1386175141208597,1.9974984355438146,2.1,1.9,1.997498435543818,2.188449124827153,0.23861751412085974
0.15000000000000013,4.338449124827164,2.0886175141208625,1.99436706751791,2.1500000000000004,1.8499999999999999,1.994367067517913,2.188449124827164,0.23861751412086263
0.19999999999999996,4.388449124827147,2.0386175141208653,1.9899748742132424,2.2,1.8,1.98997487421324,2.188449124827147,0.2386175141208653
0.2500000000000002,4.438449124827159,1.9886175141208646,1.9843134832984397,2.25,1.7499999999999998,1.984313483298443,2.1884491248271587,0.23861751412086485
0.30000000000000004,4.488449124827142,1.9386175141208675,1.9773719933285214,2.3,1.7,1.977371993328519,2.188449124827142,0.2386175141208675
0.34999999999999987,4.538449124827153,1.8886175141208703,1.9691368667515228,2.3499999999999996,1.6500000000000001,1.9691368667515217,2.1884491248271534,0.23861751412087018
0.40000000000000013,4.588449124827164,1.838617514120866,1.9595917942265437,2.4000000000000004,1.5999999999999999,1.9595917942265424,2.188449124827164,0.23861751412086618
0.44999999999999996,4.638449124827147,1.788617514120869,1.9487175269905102,2.45,1.55,1.9487175269905077,2.188449124827147,0.23861751412086885
0.5000000000000002,4.688449124827159,1.7386175141208646,1.9364916731037063,2.5,1.4999999999999998,1.9364916731037085,2.1884491248271587,0.23861751412086485
0.55,4.738449124827142,1.6886175141208675,1.9228884523029386,2.55,1.45,1.922888452302941,2.188449124827142,0.2386175141208675
0.6000000000000003,4.788449124827153,1.6386175141208632,1.9078784028338909,2.6000000000000005,1.3999999999999997,1.9078784028338913,2.1884491248271525,0.23861751412086352
0.6500000000000001,4.838449124827164,1.588617514120866,1.8914280319377745,2.6500000000000004,1.3499999999999999,1.8914280319377736,2.188449124827164,0.23861751412086618
0.7,4.888449124827147,1.538617514120869,1.8734993995195204,2.7,1.3,1.8734993995195195,2.188449124827147,0.23861751412086885
0.7500000000000002,4.938449124827159,1.4886175141208646,1.854049621773914,2.75,1.2499999999999998,1.8540496217739155,2.1884491248271587,0.23861751412086485
0.8,4.988449124827142,1.4386175141208675,1.8330302779823349,2.8,1.2,1.833030277982336,2.188449124827142,0.2386175141208675
0.8500000000000003,5.038449124827153,1.3886175141208632,1.8103866990231658,2.8500000000000005,1.1499999999999997,1.8103866990231672,2.1884491248271525,0.23861751412086352
0.9000000000000001,5.088449124827164,1.338617514120866,1.7860571099491729,2.9000000000000004,1.0999999999999999,1.786057109949175,2.188449124827164,0.23861751412086618
0.95,5.138449124827147,1.288617514120869,1.7599715906798075,2.95,1.05,1.7599715906798041,2.188449124827147,0.23861751412086885
1.0000000000000002,5.188449124827159,1.2386175141208646,1.7320508075688785,3.0,0.9999999999999998,1.7320508075688772,2.1884491248271587,0.23861751412086485
1.05,5.238449124827142,1.1886175141208675,1.7022044530549216,3.05,0.95,1.70220445305492,2.188449124827142,0.2386175141208675
1.1000000000000003,5.288449124827153,1.1386175141208632,1.6703293088490092,3.1000000000000005,0.8999999999999997,1.6703293088490063,2.1884491248271525,0.23861751412086352
1.1500000000000001,5.338449124827164,1.088617514120866,1.6363068171953579,3.1500000000000004,0.8499999999999999,1.6363068171953572,2.188449124827164,0.23861751412086618
1.2,5.388449124827147,1.038617514120869,1.5999999999999979,3.2,0.8,1.6,2.188449124827147,0.23861751412086885
1.2500000000000002,5.438449124827159,0.9886175141208646,1.561249499599601,3.25,0.7499999999999998,1.5612494995995994,2.1884491248271587,0.23861751412086485
1.3,5.488449124827142,0.9386175141208675,1.5198684153570632,3.3,0.7,1.5198684153570663,2.188449124827142,0.2386175141208675
1.3500000000000003,5.538449124827153,0.8886175141208632,1.4756354563373684,3.3500000000000005,0.6499999999999997,1.4756354563373704,2.1884491248271525,0.23861751412086352
1.4000000000000001,5.588449124827164,0.838617514120866,1.4282856857085697,3.4000000000000004,0.5999999999999999,1.42828568570857,2.188449124827164,0.23861751412086618
1.45,5.638449124827147,0.7886175141208689,1.3774977313955894,3.45,0.55,1.3774977313955912,2.188449124827147,0.23861751412086885
1.5000000000000002,5.688449124827159,0.7386175141208646,1.3228756555322967,3.5,0.4999999999999998,1.322875655532295,2.1884491248271587,0.23861751412086485
1.55,5.738449124827142,0.6886175141208675,1.263922465976453,3.55,0.44999999999999996,1.2639224659764536,2.188449124827142,0.2386175141208675
1.6000000000000003,5.788449124827153,0.6386175141208632,1.1999999999999993,3.6000000000000005,0.3999999999999997,1.1999999999999995,2.1884491248271525,0.23861751412086352
1.6500000000000001,5.838449124827164,0.588617514120866,1.1302654555457288,3.6500000000000004,0.34999999999999987,1.1302654555457312,2.188449124827164,0.23861751412086618
1.7,5.888449124827147,0.5386175141208689,1.054891373793982,3.7,0.30000000000000004,1.053565375285274,2.188449124827147,0.23861751412086885
1.7500000000000002,5.938449124827159,0.4886175141208646,0.9769284144197847,3.75,0.24999999999999978,0.9682458365518538,2.1884491248271587,0.23861751412086485
1.8,5.988449124827142,0.43861751412086747,0.8963549483013118,3.8,0.19999999999999996,0.8717797887081346,2.188449124827142,0.2386175141208675
